USER COMMENTS,Tags
It would be great if the types of work order codes were easier to navigate. ,Usability Issue
Make the questions clearer. Seems like =multiple questions asking for the same answers,Usability Issue
it is difficult to determine what section a WO needs to be placed in at times.  ,Usability Issue
Improve the service. It takes forever to get the items done after the ticket has been entered.,Usability Issue
Make it easier to select the area the problem is in. ,Usability Issue
takes a lot of time to place where problem is coming from when it would be easy enough for us to type in a detailed description to where the issue is. ,Usability Issue
make invoicing easier,Usability Issue
This is a cumbersome tool and I wish vendors would stop using this portal and just use Service Channel. Often when I try to update work orders they don't take . ,Usability Issue
Not making us use it.,Usability Issue
fmPilot is a functional data base but navigation on the site could be better. A few things that are kind of a pain are invoicing and the fact that if you make a mistake the invoice number get's hosed up and you either have to add something to the end of the invoice# or give it a new one. ,Usability Issue
"allow bid and invoice inputs in more of a rows and columns format.
the current method is hard to review and appears to take more time that other methods.",Usability Issue
Less clicks to get to the main page,Usability Issue
needs to be more intuitive. ,Usability Issue
"Make it easier for Vendors to run reports.
",Usability Issue
"Super user friendly. Only issue I've had is getting a new password and not knowing if letters were upper or lower case on ""i"". Had to request a new password ",Usability Issue
The sensitivity of using the IVR can be complicating when clocking in & out. It doesn't allow much time to enter information and I receive a lot of error messages causing to change the status manually,Usability Issue
make easier for technicians to check in and out,Usability Issue
IT IS SOMEWHAT CONFUSING USING THIS PROGRAM SIMPLYFLYING THE TABS AND MAKING IT MORE USER FRIEDNLY ,Usability Issue
Get rid of FMPilot and use VendorCafe or ServiceChannel.  FMPilot is antiquated and not user-friendly.  ,Usability Issue
Offer possibility of opening an 'urgent' ticket directly online without speaking with an agent. Thank you!,Usability Issue
The overall user experience is lacking. Searching for work orders is complicated. The work order dashboards are hard to navigate through to find the right information. Comments seem to go unnoticed at times.,Usability Issue
Improve website interface. Less color/filter options. Simplify it. ,Usability Issue
Can make accessibility and options of status' more available,Usability Issue
Make it easier to connect with colleagues within the portal,Usability Issue
"1 - easier search capabilities (more user-friendly), 2 -  eliminate (or at least edit) some of the questions that pop up on the dialog boxes that are poorly written, and really have no impact ",Usability Issue
"When you start to make a ticket for a site it should be a lot easier to know if there are pending ticket / Quotes anything for a site, not just once you start opening up the equipment and type of issue.",Usability Issue
"it used to default to my location. if im not paying attention, i have added work orders for other locations in error. ",Usability Issue
Improve ease of quote submittal.,Usability Issue
Alerts when work orders are ready for payment. I only need to see my work orders not every station. Sometimes entries are problematic. ,Usability Issue
This system needs improvement. It is such a pain to use that I'm debating whether or not to even continue doing work for IFM. Doesn't seem worth it.,Usability Issue
"There needs to be an easier way to run reports in FMP. The way to set up filters, etc. is not intuitive, is cumbersome to users, very complicated and frustrating.  Also, the only convenient way to search for a work order is with a PO/WEB number. If I'm doing a search and do not have that criterion, I'm dead in the water.  ",Usability Issue
"less clicks and menues to create a work order,  not default to location that I am not at, send push emails on status and when work orders are complete.  Too time consuming to schedule a work order and follow up on the status of it.",Usability Issue
"I FIND THAT THE PROCESS CAN BE DIFFICULT AT TIMES, NOT VERY USER FRIENDLY.",Usability Issue
IF we could make it so that we can have multiple tabs running pilot in the same browser that would be helpful- Sometimes I need to have both the client side and the IFM side up at the same time. Also the client side only works in Firefox- It we could make it work across all browsers that would be awesome. ,Usability Issue
Need and other tab when creating work orders,Usability Issue
"I submit invoices to their respective PO's in fmPilot. However, some of the POs hide from me under different status's. Way too in depth - I want to open fmPilot and see all my work orders there - maybe a status to show accepted/paid by Savers Value Village, but otherwise I do not want to have to search for these WO's.",Usability Issue
Make a much more user friendly UI. Having sections and bulkier buttons instead of text to click on would be so much more appealing.,Usability Issue
The navigation of the portal is less than adequate. Searching for open work orders is not easy. You should add e-mail verification once a work order is submitted. ,Usability Issue
Easier to research prior web orders,Usability Issue
The quote screen gets a little clunky sometimes when adding in line new line items and filling out each field. ,Usability Issue
Needs to be a bit more training. It's not very efficient to search for work orders when you have to restart search criteria every time you leave current list. It is also hard to give accurate start and completion times if the work order already comes in past due. Need to be able to edit completion times so vendors can receive more accurate score grades. ,Usability Issue
Stop making it so you have to do so many steps to submit an invoice.  Why do we have to submit an invoice and type it in. Seems redundant. Shouldn't have to have training to learn how to use this system.,Usability Issue
It is not user friendly and very hard to navigate even after using it for a year and a half. It adds a lot of extra work to my day.,Usability Issue
"easier invoice submission.  your current set up takes on average 3-4 mins from start to finish to submit an invoice with more than 5 lines.  Most of your invoices submitters have multiple accounts this is not good for efficiency. the ""upload"" system you offer is even clunkier and not user friendly let alone that you are only able to Submit at 10 and 4 and IF  there is enough room the system will pick up your batch submission.  ",Usability Issue
Make it easier to locate just your station. The widgets are not done well and if I dont know the WEB number it takes a while. I should not have to filter through other stations items. ,Usability Issue
Be more simplistic in some questions as well as be faster in completing work orders. ,Usability Issue
Make it MUCH easier to use!!!!!!!!!!!!!!!!!!,Usability Issue
Sometimes you can not find the correct drop-down category for the work order that you need to create.,Usability Issue
Make it more intuitive to use,Usability Issue
IT IS TOO EASY TO MAKE MISTAKES WITH HOW FINICKY THIS PORTAL IS. ,Usability Issue
make it easier to find where to invoice ...under finance tab is not as easy to remember when not using portal that often ,Usability Issue
The platform is not user friendly at all,Usability Issue
The search would be better if it was more broad and the input did not have to be exact.,Usability Issue
The user interface is not very user friendly and a little outdated.,Usability Issue
"Commenting - having to send an email - is too difficult. Especially adding the appropriate people to the email.  Also, it would be great for it to open to WEB orders and have a separate tab for PM.",Usability Issue
Having trouble when inputing quotes. Description doesnt match when printing out.,Usability Issue
make it easier to upload items and not have to resave everything ,Usability Issue
The questions with yes/no answers should be direct and easy to understand. They're not even close,Usability Issue
some of the choices are limited,Usability Issue
"the system overall is somewhat cumbersome, and I think aspects could be streamlined. There are also many capabilities that could be incorporated to make the features more adaptable and date more robust when trying to report out. There are other CMMS products I find more intuitive and resourceful.",Usability Issue
"Easier adding attachments, adding work order items, and invoice acceptance. Every work order takes weeks to put in so the system will accept it. ",Usability Issue
make it easier to get to your location instead of Palo Alto popping up everytime.,Usability Issue
the ui hurts my eyes,Usability Issue
Sometimes it can be difficult to locate which area of the building you're trying to open W/O for with the drop down options. You have to look around a long time sometimes to find certain things b/c they aren't where you'd think they'd be.,Usability Issue
Its antiquated and not user friendly.,Usability Issue
"Have comments always generate a notification to the vendor, location, and support team. Sometimes, comments are added by store but if they take steps to email them, they go unseen. ",Usability Issue
Make it more user friendly,Usability Issue
"make it easier to use
",Usability Issue
"checking in through the phone is some times difficult .
maybe if it can be done through the portal it can make it easier ",Usability Issue
sort feature is cumbersome,Usability Issue
Make it more mobile friendly.,Usability Issue
Get rid of having to put WEB in front of the number to look something up and then if in Finance and need to go back to overall you have to redo search,Usability Issue
The search functions are quite limited for my use.  ,Usability Issue
"Allow us to remove items that we might've accidentally attached to a work order.  Sometimes I work with multiple work orders and multiple computer screens at a time, so it's very easy to accidentally attach pictures or something like that to the wrong work order.  It is VERY difficult trying to get through to someone at CBRE for their help in removing something as mentioned.  Thank you!",Usability Issue
"The IVR system for IFM could be improved. You should have to enter your pin on the same phone call more than one time. If you check out multiple work orders on the same call, it should be easier to check out. Also, it would be nice to check in and out on IFM directly instead of having to call it in each time. ",Usability Issue
I find it difficult to navigate the site.  It can sometimes seem confusing to navigate. But overall it can be a helpful tool.  ,Usability Issue
"Very cumbersome.  All options: invoicing, quotes, updates, should be on one page for selection.  It's a chore to do work on your site.  This is a large reason why we typically decline a call, is because we know the admin component via FMpilot is going to be onerous.",Usability Issue
"Why do you need to submit the work order before you are able to load the pictures? It tells you that you need pictures for certain jobs, yet you can not upload the pictures until after you have submitted the job.",Usability Issue
"basic functions!
I cant look up a web order currently. and your goddamnd survey popping up every 3 minutes is pissing me off!",Usability Issue
"Ease of use.  Locating previous tickets.  Sometimes the issue that needs to be addressed isn't easily located, if at all.",Usability Issue
When first logging on the clinic @ comes up 0 and is not able to change. I have to back all the way out of system and then retry. Finding things is not user friendly. Also system has items that you can select but  CBRE does not do! Like alarm ,Usability Issue
The sorting of a list can be improved,Usability Issue
Make it more user friendly. It's to hard to navigate.,Usability Issue
should default to phone number and basically everything is the salesfloor too many options to select from,Usability Issue
"There is a delay the invoices being paid to showing ticket closed.
",Usability Issue
Broaden the categories i.e. add refrigeration to the Type field.,Usability Issue
more intuitive.,Usability Issue
needs to be more user friendly and easier to navigate ,Usability Issue
Make it easier to use,Usability Issue
Continue to be able to be more user friendly,Usability Issue
Make it easier on tickets we put in for the same issue within the warranty period,Usability Issue
fm3 (sally beauty) requires constantly clearing history and refreshing browser to work especially when in work orders. please make linked work order information viewable from the client data strip makes finding work orders from tech calls easier. also please add the copy work order number button viewable in the work orders to the data strip. it is too difficult to copy work order numbers in fm3.,Usability Issue
"Just simple things, like if I upload photos before I change a ticket status to submitting invoice. Then I get an error because I wasn't actually in the invoice tab when I uploaded the photos. I have to re upload one of the same photos that I just sent, in order for the status to change and invoice to submit.

I wish there was an easier option for signed work orders. So many times either I forget or my technicians forget. A lot of properties are an hour plus away, so to drive back out for a signature can be a pain, if the store isn't able to scan or send us a copy.

Lastly, being we have so many steps that we have to follow in order to accept, change statuses, pending verifications. & invoicing. I think the customer should have some responsibilities as well. Mostly, I feel they should have to upload at least 1 photo of whatever the tickets issue or repair request is. A lot of times, If we would have just had a photo. We could have sent the right tech, or materials, or been more prepared to complete the task. We would have a much faster completion rate on the majority of work orders. If we just had some photos to prep us before arriving to the property.",Usability Issue
"Too confusing looking for the right repairs.  And mandatory stuff to answer is too annoying when you don't know how to answer it… those things could
be asked upon a phone call to location from someone in dispatch ",Usability Issue
"Allowing scrolling through entire work order list instead of limited to 1 page - takes so long to advance to older time periods when searching for something
",Usability Issue
too difficult to navigate/find open tickets,Usability Issue
"I use it because its mandatory, but not necessary for what I do- used to it now, but not user friendly. I need to get WO numbers from here, but lately they haven't been available on time",Usability Issue
navigating all the dropdowns can be cumbersome,Usability Issue
"It is not intuitive whatsoever.
The project ""other"" field has a very useful aspect, but it is never pointed out or utilized properly, because there is never any continued training, for FM Pilot overall. 
Seem odd because it is a wonder platform that a business was built on and had great success using.  
The new client platforms are way too difficult to navigate and they do not filter like the original. For example, if there are groups/child work orders, you can see the file numbers, but you cannot click on the WEB # and open it, like you can in the regular platforms... it might look newer and nicer but is by far not..",Usability Issue
Hard to find/read the workorders ,Usability Issue
Bulk invoicing is not user friendly at all,Usability Issue
Putting up the financial information - if that could be made easier / more fluid; that would help.,Usability Issue
Maybe find when payments were made eaiser,Usability Issue
The search could be better.,Usability Issue
be more user friendly,Usability Issue
"It is INCREDIBLY complicated, for NO REASON. We work with lots of other providers who use online billing systems, and it is SO SIMPLE; really intuitively obvious. This system is IMPOSSIBLE. Seriously.",Usability Issue
It is not the most intuitive program.,Usability Issue
"some times you are limited on how to create a work order because what you are trying to do a work order for is not listed, need to add a section for other ares that might not be showing   ",Usability Issue
It's honestly been really difficult navigating this portal. It's very unclear and doesn't work a lot of the time when trying to process an invoice.,Usability Issue
It is not user friendly. Always getting denied on invoices for one reason or another and it was very difficult to get set up and started in the beginning which created more work for us ,Usability Issue
By not adding DNE so that techs see it,Usability Issue
hard to use and understand ,Usability Issue
make it more user friendly and easier to navigate.,Usability Issue
When it comes to setting the status of a Mosaic alarm I think it gets a little clunky. Like we should e able to select the status and select the date that it will complete. ,Usability Issue
"When a service work order is created under insight - no work order number is given - only the word pending is seen. We are unable to reference what the work order number is for documentation. Without the actual work order number - we have to search in SI7, however I am not sure if the pending ever updates in Mosaic either. I have not seen it but I have not checked in 24 hour increments either.",Usability Issue
"Great product.  if we can make it a bit more users friendly, it would be great.",Usability Issue
"Identifying where to create invoice, itemize and submit is not intuiative.  The only thing that is easy to do is add attachments. ",Usability Issue
"when entering a property in the system, if it does not exist currently, allow to modify the information rather than having to start over when inputting mapping coordinates would save a little time",Usability Issue
"Adding properties is pretty time intensive. If the properties were already in here with clear height info it would make it a lot easier. Or at least when I start adding a property, have it recognize that the property is already in here. Because right now I just add every building.",Usability Issue
When adding a property and moving the location - we need to be able to view that mode with an aerial view map. Right now it is grey scale and very hard to pinpoint exact locations. ,Usability Issue
"Thank you for continuing improving it. Is there any way to search the field when Edit Columns? Also, if two buildings are sharing the same addresses with same square footage, is there any way we can have a duplicate warning?",Usability Issue
It would be nice to be able to move the property markers on the map within a project/deliverable because sometimes they overlap and can cover up each other. ,Usability Issue
"Really love it. Will the copyright year be updated to 2023? (appears at the bottom of the map page, property comparison and overview pages)",Usability Issue
"Limitations on the Mapping - would like to color code the property numbers but there is no way to add what those colors mean. 
Roof & Lighting appear to be missing from building details. ",Usability Issue
It would be easy to renumber the order of properties desired rather than drag and drop to its desired placement. Sometimes it can take some time with the map reconfiguring after each placement. ,Usability Issue
Making it easier to merge projects. ,Usability Issue
"The actual tool is awesome which is why I use it, but the way the fields are set up can be confusing. Also, the way the information funnels from the property pages to the deliverable makes it clunky. ",Usability Issue
when you upload photos- they shouldn't cut off half way - should auto adjust to fit in the frame ,Usability Issue
"More user friendly, does not flow.  Reports are cumbersome to populate.  ",Usability Issue
"The Request Dashboard is a good service in submitting work to be completed, however if the Matrix is not setup properly this can lead to work orders going to companies that are not in my state. I would like to see the name of the company along side the Primary/Secondary matrix in the dispatching tool. Because this does not exist, I have to use the Main Portal to reassign the job to the correct vendor.",Usability Issue
somehow making history searches easier.,Usability Issue
Search for work orders needs to be narrowed down.,Usability Issue
I feel that the main UI could really do with an uplift to look slicker and cleaner like the other CMMS competitors such as Maximo. ,Usability Issue
The JSA for the PM jobs for my engineers are not applicable for their task.  The only option they have is Open / Complete.  The option N/A needs to be added so that we are truly filling them out correctly.  Right now you have to select complete to get it to show as closed. ,Usability Issue
"Less nuances to make simple changes.  For example, closing a building requires work to be done at all four levels of the location hierarchy, attached matrices and employee records.  This requires various data loads and back and forth between numerous screens.",Usability Issue
"Use is not intuitive. Often comments, etc. appear to be minimal or non-existent. We shouldn't have to struggle to know what's going on with a ticket. Updates are not sent to anyone on the clinic side.  We get no notification of creation of WO, changes to WO, etc.    Uploaded documents (backflow preventer documentation, fire extinguisher, etc..) should be automatically forwarded to someone within the clinic. Often these are uploaded weeks after we open tickets and we never see them if we don't remember to go back and check.  Even searching for past tickets can be difficult and frustrating as there are far too many categories of information that we have no knowledge of.","Usability Issue, Business Process Doesn't Match"
Seria perfecto no hicieran tantas preguntas y cuando reportas algo vengan rapido a reparar las cosas. ,"Usability Issue, Business Process Needs to Change"
"Better response time, more intuitive, allow to go to any WO status from any WO status","Usability Issue, Business Process Needs to Change"
Constantly difficult access-I have to open and close it twice in order to get the correct facility.  The system asks for answers to be repeated and the drop downs are difficult to navigate.  ,"Usability Issue, Business Process Needs to Change, Technical Issue"
Let us type in our work order issue instead of making us answer the generic questions that do not always fit into the reason we are putting in said work order,"Usability Issue, Data Issue"
"Properties change all the time -- names, addresses (weird, but true), sizes, ownership, etc. Since Site IQ is tied into surveys, I cannot just delete a line of building information and upload a new one through Excel. Please make it easy to use software, and not manual labor, to upload updates. I am sure I am not alone. Also, since so much of the same data is being used for Dimension, it would be ideal to just upload information to one location and instantly update both at once. Maybe include a couple yes/no columns for whether the information needs to upload to Site IQ, Dimension or both.","Usability Issue, Data Issue"
"Make it more USER FRIENDLY.   The facilities have difficulty finding the correct coding to enter NON EMER work orders.  Some of the codes the support center uses all the time are not available to them...so they enter just about everything as General Maint, --which is not good.   Give the facilities instruction, easy instruction on how to use it.   That would make support center staff work easier instead of having to fix the mistakes of others before service is rendered.  ","Usability Issue, Data Issue, Training Needed"
"Very hard to navigate. Not user friendly. Poor navigation. Overall, the worst online portal for invoicing compared to the other 25 or so we use. ","Usability Issue, Doesn't Meet Client Needs"
the manual submission process is extremely time consuming.  If this was my only 3rd party or account that would be ok but its not...  maybe prepopulate the next box?  or less time between processes.  As well the Bulk Upload is NOT user friendly.  had a really hard time getting it to work. from what i understand that system has never been revamped.  If i have a vote please revamp.  I would use it for all 4 clients i have ,"Usability Issue, Doesn't Meet Client Needs"
"Make searching work orders easier, showing current work orders that are open without the need in filtering it to show it.","Usability Issue, Feature Request/Enhancement"
It is too hard to check the status of a work order. The issuer/customer cannot make comments on the work order. ,"Usability Issue, Feature Request/Enhancement"
"Uploading documents easier -Having all team emails preloaded  -Simplifying quoting page -When CBRE emails and we reply to emails Having all responses automatically go into portal -making a simplified note page- where we need CB to take action or we are proactively updating -scheduling on calendar easier without Having to then save work order as well. -creating a return trip needed IVR status (When techs need to return to continue work, but already have materials)- we are told not to use the follow up option. -Revamping SLAs for quote submittal based on job priority.","Usability Issue, Feature Request/Enhancement"
"Yes, there can be a restructure on a lot of the unnecessary drop-down menus that would be great. Also adding a entry so when we add our invoice, we don't have to input the invoice twice and it can be copied over to your system.","Usability Issue, Feature Request/Enhancement"
An interface update would definitely be an improvement. As well as an easier way of tracking WO history.,"Usability Issue, Feature Request/Enhancement"
The system is too difficult to navigate and submit invoices.  Too many steps involved for a simple process.  The excel exports take forever to pull even for a simple report.  Need an option to delete PDF's since errors do occasionally happen and there is not currently an end user option to delete.,"Usability Issue, Feature Request/Enhancement"
"It would be nice to see my open work orders easier.  I just want to see mine not everyones.  Also it would be very helpful to be able to ask questions regarding WOs.  Such as requesting a timeline follow-up, or add more information once submitted. ","Usability Issue, Feature Request/Enhancement"
Payment processing is a massive inconvenience. All the options to choose from or not user-friendly. There is no updates when something has changed other than through your email please hinder and cost us valuable time.,"Usability Issue, Feature Request/Enhancement"
"The interface is clunky. Feels like 1990s internet tech. It should be more mobile-friendly, too. Also, there should be an option to delete uploaded photos or files, in case the wrong file is uploaded. ","Usability Issue, Feature Request/Enhancement"
add an icon that shows attachments have been submitted. I have no idea if the images I uploaded have been attached and can be viewed by analyst,"Usability Issue, Feature Request/Enhancement"
"Follow up on services more easy, email when status change on a service.","Usability Issue, Feature Request/Enhancement"
make it easier to submit quotes like service channel or maximo ,"Usability Issue, Feature Request/Enhancement"
"I like the description in newer layout like on the sally client. but the color of work orders is better in the older version Pending quote and PVINV should never have the same color. I would recommend using shades of color for work orders in the same category such as open and entirely different colors for each category like open, financial, completed... please place a copy button in the ribbon for work order number like there is when you go in the work order in the sallybeauty client and if there is a linked IFM work order please have that information viewable int the overview panel/i bubble header. also please include the work order number in the info strip for each comment. basically work order numbers everywhere, make it easy to find and know what work order a user is looking at, working in and commenting on, and if there is a linked provider or client work order associated with the current one. Plese note this does not include parent/daughter references. ","Usability Issue, Feature Request/Enhancement"
"If we could make it easier to filter previous work orders, that would be great. Besides that, just updating the UI.","Usability Issue, Feature Request/Enhancement"
"Ensure that the description box can support enough characters or if there is an error, we do not have to repeat the entire entry of a WO.","Usability Issue, Feature Request/Enhancement"
" It does not notify the work order manager if we reply on Fmpilot, It only does When we reply on the email.  -It does not autosave the quotes. This should be improved.  -It is difficult to create new users.","Usability Issue, Feature Request/Enhancement"
"make it easier to search by customer name/number. also, it's not always clear if an email is getting sent when notes are left in the portal. and when notes are saved in the portal they go unread by CBRE","Usability Issue, Feature Request/Enhancement"
"Just not a user friendly format, confusing.  Need to be able to chat for support. ","Usability Issue, Feature Request/Enhancement"
"* Alphabetize all drop down menus.  * Set up Senior Managers to approve quotes. The app allows it, just not the WEB version. * The app does not save filters * Need to require vendors to upload all service records to work orders * Need to make mandatory the requester for a work order to include their name AND telephone number before can save a work order  * ","Usability Issue, Feature Request/Enhancement, Business Process Doesn't Match"
"Can we make the website more use frendily, of creating a WO and attaching the file at the same time.","Usability Issue, Feature Request/Enhancement, Data Issue"
"System lags, especially when using the Tracking (Bus);  Would be nice to see all the IVR on the main screen without having to drill down(space available if comment box removed from Main Screen);  Include Primary Email contact in the Comment Email Contact Box  as standard default ","Usability Issue, Feature Request/Enhancement, Performance Issue"
"A couple of tweaks need to happen, i.e. changing dot colors for the map, being able to identify a current location (i.e. star, different colored icon, etc), radius rings. Also, a big big point point for my team is importing an excel and having it override the prior property entry photo / flyer / site plan. It is vey time consuming to have to re-add these items everytime you export / import an excel. Also, we thought the multiple links issue was updated only to find that when you create a survey and have edits to it, you have to issue a new link if the adjustments are to the property details.. which 9 times out of 10 they are vs. the final deliverable edits. We find we are issuing multiple survey links and it gets very confusing and chaotic on the back end. Our brokers wont do all the edits in site iq, so the excel seems to be the best way but for a large survey it is a big lift to readd the property flyers and site plans again. Also, the PDFs created are always wayyyyy to large to send to clients.. Thanks! ","Usability Issue, Feature Request/Enhancement, Performance Issue"
Not user friendly ,"Usability Issue, General Negative Feedback"
"Allow date/time, work order status change, and/or changes to priority, NTE to all save at once without having to update individually. ","Usability Issue, Feature Request/Enhancement"
The UI and the responsiveness could be improved a bit. These are just test comments.,"Usability Issue, Performance Issue"
fmPilot is extremely outdated and is slow to load and user experience is not user friendly. ,"Usability Issue, Performance Issue"
"The application used in our day to day operation is very crucial when operating b2b transactions at high volumes.  Thus requires the complexity of the application to handle large numbers of transactions in a single day.    This application does not allow us to run at full potential and lacks the simplicity needed to be truly useful.  Constant Lags, Status options that do not communicate to the end user effectively, and the lack of communication after repeatedly reporting of issues found in application are just a few reasons we would not recommend this product.","Usability Issue, Performance Issue"
Pages are slow to load.  UI in not intuitive. Unable to easily see updates on Work Orders.  ,"Usability Issue, Performance Issue"
"The website is glitchy. I have to close the window and reopen the window for it to pull up our station. As far as the maintenance that we receive, I can put in an emergency work order and it will take weeks to months to get it completed. Most work orders take a long time to get to be completed.","Usability Issue, Performance Issue"
"No way for Providers to manage work orders apart from account teams seeing updates, forcing providers to use or invent an alt way to manage work orders.   Many glitches, when submitting quotes,   IVR info not clearing identifiable or editable.  Slow,   To long to pull reports, and reports often are not robust enough.   ","Usability Issue, Performance Issue"
"The login & out system is not very good, we often cannot log out due to some error message on the IVR system and cannot manually input times online.","Usability Issue, Performance Issue"
"UI, speed, lagging","Usability Issue, Performance Issue"
"Fix the issues:

Putting a quote in is very frustrating. It times out and you have to start over. 
It is constantly losing information and you have to restart the program.
Not user friendly at all.
There are too many reasons I am dissatisfied with this program.
There is noone to call when there is a problem, very poor tech support.
Slow to correct any problems and most of the time they are not corrected.","Usability Issue, Performance Issue"
"When entering a quote, if I hit the tab key one extra line below the line items and try to save it gives me an error code. After the system gives me the error code, the save icon disappears and I have to re enter my entire quote. HUGE waste of time. Please look into this and fix.  ","Usability Issue, Performance Issue"
"Had little difficulty filling in the pop up page to describe the issue.  I missed one line and it erased the others when I finally figured out how to fill it in.  Finally the ""enter"" key popped up.... ","Usability Issue, Performance Issue"
"Fix this: 1.I selected ""remember me"" but it never does.  2.The password is generated by CBRE and I can't seem to change it, so I always look it up.  3.The app hasn't been letting me login or when I do sometimes I can't open the work order. 4.At invoicing, there was no Equipment category to bill for, nor did I have a choice for Apprentice under labor. I need these 4 categories to bill: Labor, Materials, Equipment, Trip charge.","Usability Issue, Performance Issue"
"I have had issues where an invoice was submitted but payment was not received.  I'd like instructions on who to reach out to specifically, as it took months to get it straightened out with our customer.","Usability Issue, Performance Issue, Other Issue"
"The techs have the most difficult time using the app out in the field, so singing in and out is a job in itself. It is absolutely impossible to effectively keep track of the status of daily work orders because every work order is just thrown on a never-ending list. I have to have a sperate worksheet because the system has this terrible color-coded thing were the colors look the same and I have to have a chart just to try and figure out the status of a work order. ","Usability Issue, Technical Issue"
It times out to quickly; lately there has been a lot of issues with the IVR and techs can't check in/out.  Overall it isn't user friendly. ,"Usability Issue, Technical Issue"
"I have to lo in and out several times before it puts my name and email address in boxes. I can enter them manually, but page won't advance to next page. FRUSTRATING!!!!!!!!!","Usability Issue, Technical Issue"
"Have to open page multiple times, when I go in to put in a work order it wont bring up my name or facility unless I close and reopen page 3-6 times and this can be frustrating and time consuming.","Usability Issue, Technical Issue"
"Under actions, when submitting an invoice, the option to submit an invoice is much too close to the option to zero and invoice...either some more space between them or if when you choose ""zero an invoice"", there were a pop-up that allowed you to confirm the action rather than just automatically closing it. There also seem to be some glitchy things that if you don't do everything in just the right order, you possibly lose all your work and have to start over...very frustrating.","Usability Issue, Technical Issue"
"Slow, difficult to navigate","Usability Issue, Technical Issue"
"Going back to individual work orders for the week, it is too complex for our technicians to understand that there is only 1 work order for four separate weeks of services. The App never works and there is no way to search by site name on the app. Work orders disappear from our app and the website end as well. You cannot change the filter settings on the website as well after you have already saved one version.","Usability Issue, Technical Issue, Feature Request/Enhancement"
fmPilot is not user friendly to get started. Once you learn everything it seems easier.,"Usability Issue, Training Needed"
"Easier layout, too cluttered with complicated menus.",Usability Issue
It feels a bit busy...a little more white space would make it easier to read and work through.,Usability Issue
Not make the page so busy. Less is more,Usability Issue
"not very easy to visually look at, not very user friendly",Usability Issue
"it is not a user friendly portal. the layout, the buttons at the top, the changing status.  Corrigo is a much easy portal to use. Trying to quote in FM Pilot gives people stress. ","Usability Issue, Doesn't Meet Client Needs"
looks like a website from 2002. needs to make updated status more streamlined as well as adding attachments and updating. ,"Usability Issue, Feature Request/Enhancement"
"Oh boy, where to start. - Update the look and navigation functionality so it doesn't look and feel like a website from 2003 - Make it so the program doesn't have all sorts of weird bugs whenever more than one tab is open, or in general - Search function is incredibly limited - Alignment between searchable criteria and exportable data - Revamp the way you communicate through the platform (i.e. comment vs. email comment) - Customizable notification settings for individual users or groups of users on individual or groups of work orders","Usability Issue, Feature Request/Enhancement"
"Mostly it's just outdated and buggy. The new UI for example rarely works. You have to constantly clear your cache and refresh the page several times to get it to fully load. I prefer working in the old UI, even if it is outdated.  The most difficult part of fmPilot is the quoting and invoicing forms, though. Markups process incorrectly. Often times there's a phantom empty line item you can't remove, which adds an extra markup to client costs. For any remotely complex job, the description field doesn't let you adequately describe it due to the character limits.","Usability Issue, Technical Issue, Feature Request/Enhancement"
,
Overall I find it quite straigh forward to use with no unnecessary frills. ,Positive Feedback
"There are way too many buttons and options and the program should be simplified for the type of WO and or the role. There are multiple ways to do similar things on SI and it makes it complicated. training is terrible or non existent and it is one of the main programs used a CBRE. I receive more training on how to use a ladder, which I never use that I have with Service  Insight. ","Usability Issue, Training Needed"
,
My clients have been sending their requests to the iopropertyservices@cbre.com email address in order to get a work order number.  I understand it takes 24 hours but lately it has been taking a couple days for a simple access card request.  Can you make the emails that clients/tenants use to sent requests consistent?  A lot of clients/tenants still use the phone number and email for work order requests instead of the PSL website and are not willing to use the website because they've been using phone number and email method for 15+ years,"Data Issue, Performance Issue"
I would like to have additional access to view all work orders for a particular facility that I oversee. ,Access/Availability Issue
It can be really slow to use.,Performance Issue
The system is very slow Also it seems to log out randomly sometimes at last 3 times a day.  When a quick list is run and then you try to do another it logs out ,Performance Issue
"would be great if i could receive email notifications each time an employee opens a ticket for us. without emails, i have to refresh the page all the time just to make sure we don't have anything pending",Feature Request/Enhancement
Never had proper training on how to use it I've had to fumble through it on my own. Parts but I do not like once I look up a work order when I try to go back I got to re-submit everything for a particular building when I'm trying to do a site history,"Training Needed, Usability Issue"
No,n/a
"Difficult to enter requests.  Too many steps. Difficult to run all reports.  Parameter input is beyond difficult. If you want to print out a work order you have to turn it into a pdf first.  Too many steps. I have worked in several other Work Order/PM/Asset systems that are ""light years"" better than service insight.  I would not recommend to anyone.",Usability Issue
I would like to see the mobile MFM app have more streamlined controls for the tech in the field. ,Usability Issue
ServiceInsight works very well with my account and is very compatible. Very easy to learn and communicate with other subcontractors. ,Positive Feedback
Further training on how to assist vendors with their end of the portal. Further training on how to run reports and best utilize them. ,Training Needed
More video training ,Training Needed
The web page loads too slowly.  Honeywell customers should have a prompt to enter their email instead of Username.,Performance Issue
For 6 1/2 years I directly worked in Si7 and after getting use to it was pretty much like second nature to me. I no longer have that job so I am not in it as much anymore. I can tell you that it can be very complicated for users and I feel like it has alot  of quirks,Usability Issue
Problem code improvements. Many times the customer will not find an accurate problem code. ,Data Issue
You have to click around for certain buttons that could be on the first page since are used so frequently.  Also I find ServiceInsight to be slow.,"Usability Issue, Performance Issue"
