,Comment,Tag(s),,
,"It would be helpful if it were easier to submit quotes, invoices, and if the IVR worked more. ","Feature Request, Usability",,
Vendor Admin,Keep the dialogue box open if user is needing to hop to another tab File uploading needs to be more streamlined,"Feature Request, Usability",,
Account Coordinator,make it easier to find vendors,"Feature Request, Usability",WO,
Vendor Admin,"Not the most user friendly when creating a WO, Trying to ensure we have the right caller infomation is hard to confirm by email address, It would be great if we could pull caller information by their EID number assigned to them by our clients instead. When creating a request Trying to find the site in question is tricky, If there was a search feature to locate the site my their mail or location code would help.","Feature request, Usability",,
Site Manager,se podri­a tener una opcion para cambiar de estado las WO PM en vez de cambiar de a una  por lo demas muy buena app,"Feature request, Usability",,
Site Manager,There is no way to change the password in reset email or inside the app. We have to send for one every time we want to log into fmPilot. ,"Feature Request, Usability",,
Vendor Admin,"When a quote is approved, have the finance information automatically transfer over to the invoice. It takes a very long time to type in quotes and invoices.","Feature Request, Usability",,
Site Manager,2. vendor database: Multiple vendor record for same vendor creates confusion. Should be cleaned up,"Feature request, Usability, data issue",WO,
Site Manager,"Firstly, nobody in management seems to realise what users are saying, SI7 is not fit for purpose!! Things have never worked properly & since the 'upgrade' 2.5 years ago it's been worse. Over half of our jobs disappeared after the change over to SI7. Our guy met with the SI7 rep for 2 days, went through all the problems & nothing was changed or done about them. Task cards are not correct for jobs. You can't add hours or edit after a jobs closed. You can't see other users times that have been booked to a job so can't tell if times overlap. You can't drag & drop jobs in the dashboard any more. Why did you waste time developing JARVIS when it's hardly used & the core basics aren'y running properly? Why is no-one in management willing to step up & get things fixed & working properly?   These are just some of the problems, but no-one listens to the boots on the ground when they're saying thing's need to be fixed for us to do our jobs properly!","data issue, Feature request, Usability",WO,
Vendor Admin,"We are in the middle of an active RFP that includes competitors like JLL and Cushman.  The feedback that we've received from our client is that ServiceInsight significantly lags the technology used by our competitors.  While I understand CBRE is investing heavily in Jarvis, I am not aware of any end users that are involved in the development process.  In the spirit of inclusivity I would like to see CBRE include service engineers and facility managers in the Jarvis development process. ",role permission,Invoices,
Vendor Admin,Actually my dismay is with IMFM. It has continued issues.,performance,"WO, Attachments",
Facilities Manager,"After 6:30am CST SI is very very slow, somedays it takes a long time to access SI and remains that way throughout the day. ",performance,WO,
Vendor Admin,After 8 AM Central Time service insight is slow to load. Having to wait for new screen to load can be frustrating at times. ,performance,IVR,
Site Manager,After crush in april i have problem with Target time is ''Quick list new'' because the date is constantly changing...,performance,WO,
Facility Manager,"All my log in to not time out. It's inconvenient having to log out and back in, sometimes, it takes doing it twice, to allow me access to the service desk. I like the portal more than some others we use but the timed-out issue can be frustrating when in a rush.  ",Performance,WO,
,"As a manager for such a large company, the recent large outage and the many short outages with the main portal and MFM are concerning. It seems like the company values its other sectors over facilities maintenance and as a result SI7 lacks the personnel resources to make it more reliable and effective. Its such an important tool for my and my teams daily use but it often feels like its taken for granted.  ",performance,,
Vendor Admin,Better signal strength & not so many logins per day,performance,,
Site Manager,Certain functions like pulling up tracking or interactions on a work orders would be nice if it didnt take 2-3 mins to pull up,Performance,Notifications,
Vendor Admin,Constant lagging can be frustrating. ,Performance,,
Site Manager,"Constant refresh is needed.  i have to click refresh almost every time i change to a now screen. often times, it takes several times for the screen to load. ",Performance,Reporting,
Facility Manager,"Constantly getting kicked out of the mobile app makes things problematic, especially if someone else puts time on that work order. I have been locked out for weeks in the past because of this issue. ",performance,WO,
,Constantly have to refresh a ton because it wont load.   Half the time it wont let me create a work order- I have to refresh and make it 3 plus times before it actually takes,Performance,Notifications,
Site Manager,"Correct the grey screen issue and having to refresh to get FMP to work correctly.  It has gotten much better, but still will not load sometimes with out me having to right click and refresh my browser.",Performance,,
Site Manager,Decreased latency,Performance,Locations,
Site Manager,Expecting processing speed ,Performance,WO,
Vendor Admin,faster updates between the IFM and FMP2 ,Performance,Invoices,
Site Manager,Find a way to keep it running instead of going down every other week ,Performance,"WO, Locations",
Vendor Admin,Fix latency issues.,Performance,"Invoices, Reporting",
Vendor Admin,Fix some technical issues the work orders sometimes have and have a faster system.,performance,,
Customer Service Rep,Fix the Grey screen (timeout) which would save a lot of time not having to refresh frequently. ,Performance,WO,
Customer Service Rep,"Fix the lag keeping me from doing my job. From constantly having to refresh because pages dont fully load to having to completely restart my browser at least once a day, I would say that making it consistent would be a good improvement",Performance,,
Vendor Admin,"Fix the system. Too slow especially, for some client websites.",Performance,,
Vendor Admin,"Fix the website. Specially for the other clients, it's loading very slowly and sometimes it won't open.",Performance,Notifications,
Site Manager,"FMP2 runs very slow at times. Also, the administrator changes/updates without notifications which causes ussues ",Performance,,
Account Coordinator,"FMpilot is easy to use until there are issues. It becomes extremely difficult when you are experiencing slowness or in some cases the screen freezing. But when it is running, it's easy to use. ",Performance,,
Account Coordinator,"fmPilot varies in performance. Sometimes it is very difficult to make client side updates or create work orders. Also, certain times fmpilot will just spin and not do anything. Performance needs to be better. ",Performance,,
Account Coordinator,Frequent logouts from the program.,performance,WO,
Vendor Admin,Frequently experienced connectivity issues ,performance,"Commenting, WO",
Vendor Admin,have to re-login every hour or so,Performance,,
Facility Manager,I am frequently disconnected even minutes after re-connecting. The problem occurs more often when using the Client laptop from their secure network. It happens less often on hotspot or personal wi-fi.,performance,"Locations, WO",
Vendor Admin,I am kicked out of the system regularly when working for long periods of time.  Overall it is a good work order system.,performance,IVR,
Vendor Admin,"I am not continually in the system during my work day, it's one of the multiple tools that I use....the need to log back in seems quite frequent in comparison to other systems we run.   ",Performance,Attachments,
Vendor Admin,I had to restart the application >5 times to input information. The application is very slow.,Performance,"IVR, WO, Notifications",
Vendor Admin,"I love using fmPilot when it likes to work properly.  It is common to run into issues throughout the day where when you are logged in moving from screen to screen it likes to just sit and spin and not load in a timely manner.  I could refresh up to 15 times sometimes to get it to load the next screen or WO.  It is very frustrating but when it works, its a great program.  ",Performance,,
Facility Manager,I use to mainly enter quotes. it is dreadfully slow to select a topic.  ...... then enter..... then wait...... then put in each line ,Performance,"Locations, WO",
Account Coordinator,I wish there is something to be doner in order for the fmP to work faster like it should be. Thank you.,Performance,,
Account Coordinator,I would like to see it run faster. ,Performance,,
Vendor Admin,improve its latency,Performance,Invoices,
Vendor Admin,IMPROVE SPEED ,Performance,,
Vendor Admin,It can be really slow to use.,performance,,
Site Manager,It can run a little slow sometimes,Performance,WO,
Vendor Admin,"It does not work more than 95% of the time.  It does not load completely, and you have to refresh the pages more than 5 times to get it to load fully.",Performance,Invoices,
Account Coordinator,It freezes sometimes which makes creating work orders for clients harder. especially if we are in the middle of creating it and we'd have to re-do everything,performance,,
Facility Manager,"It hours glasses me out.  Attaching invoices sometimes is quite painful.  This is the 7th time trying to submit these invoices since the end of August.  Once the invoice is attached, sometimes I have to attached 2 or 3 times before it recognizes that it is there.  I am just very frustrated with this system.  I use a lot of different systems and this is one of the ones that is the most painful.",Performance,,
Vendor Admin,"It keeps giving ""gray"" screens and locking up. Very time consuming to have to log out and log in for each work order. ",Performance,Commenting,
Site Manager,It takes multiple attempts to get my clinic to load when enter a new work order.  ,Performance,"WO, Locations, Notifications",
Site Manager,"It would be easier to log in once and not have to log in and out a million times a day, also quoting is a pain since you have to paraphrase your work recommended.",Performance,WO,
Facilities Manager,It's a tool that would be hard to do my job without. Thanks,performance,,
Site Manager,Lag to run reports or Lag in general when entering work orders. Timing out of the system with no warning or notification,performance,WO,
Vendor Admin,Less crashes.,Performance,Attachments,
Account Coordinator,Less lag or latency issues would make fmpilot easier to use,Performance,,
Vendor Admin,Less laggy,Performance,,
Vendor Admin,Less latency issues.,Performance,Attachments,
Facilities Manager,Longer duration between logins is frustrating you start a work order roll back 1/2 - 1 hour later on the mobile ap and you are staring overall waste of time & resources,performance,WO,
Vendor Admin,lot's of lag,Performance,,
Vendor Admin,"main issue is lagging of desktop site, every click can be a few seconds that all add up therefore less likely to usse it to full potential , also site and app logs out user too quickly so forever logging on, d ",performance,,
Facilities Manager,Make it load faster,performance,,
Vendor Admin,Make the aMFM app more stable for use. Especially when completing inspections.,performance,"Commenting, Notifications",
Vendor Admin,Make the system load and work faster. Often the issues I am having are on the list in a department that doesn't make sense. Creating a search tool that went by typing out the issue that is on there would be helpful! ,Performance,,
Vendor Admin,Many are times am not able to log in to SI 7 i keep getting messages to contact administrator to unlock my account. the downtime on SI 7 is also not good at all,performance,,
,maybe extend the time before it times out.,Performance,,
Facility Manager,More servers for quicker access,Performance,,
,Not create an issue every time its updated.,Performance,,
Vendor Admin,On my mobile and desktop it doesn't remember me and I have to go through long log in's each time which is frustrating.  ,performance,,
Vendor Admin,Overall is works well it sometimes runs a little slow. They could improve the FM Pilot App. ,Performance,"Invoices, Quotes",
Vendor Admin,"Overall Service Insight is user friendly and intuitive. My main complaint is the fact I have to refresh it every 5 minutes in order for the QuickList to stay active. Or, if I am working on something, exit and come back, it appears to be 'active' when the second you hit something it has to refresh. It would be better to just time out completely and return to the log in screen if it can't stay actively running, so at least you don't falsely believe your info is active and correct when it's not. ",performance,,
Facilities Manager,Pending Site update quicker,Performance,,
Vendor Admin,Please improve the speed. Thanks.,Performance,,
Vendor Admin,Please improve the system it is so slow in opening up the system.  ,Performance,WO,
Vendor Admin,Please make it so it does not log you off after 30 minutes of non use.,Performance,,
Site Manager,Printing reports does not always work for what I need,performance,"WO, Notifications",
Site Manager,Service Insight could move a lot faster. It has a lot of glitches,performance,,
Site Manager,Service Insight is a very outdated program which often crashes so you have to reload and is also very slow program. This is very frustrating and time consuming. ,performance,,
Vendor Admin,Service insight still has mobile issues. The only resolve is to restart my phone almost once a day,performance,,
Vendor Admin,"Service Insights is a necessary tool to use for properly doing my job. I do however find that there are a number of glitches that occur that can make things difficult. But overall, it is a helpful tool.",performance,Invoices,
Facility Manager,ServiceInsight is very easy to use but sometimes the SI is very slow and takes to much time to create a work order,performance,,
Vendor Admin,"SI has a lot of bugs still, even after the crash and update. Need to work on being better and user friendly.",performance,,
Site Manager,Slowness is the only issue. ,Performance,,
Vendor Admin,Software is clunky and often needs to be restarted before the work order function works properly.,Performance,"Invoices, Quotes",
Site Manager,"Sometimes the FMP is slow and is affecting our work, hoping for that not to happened again.",Performance,,
Site Manager,Sooooo many bugs..... Lag has improved lately... but it's generally still slow.,performance,,
Vendor Admin,speed,Performance,WO,
Vendor Admin,Speed up the new UI so it works as well as old UI does.,Performance,Integration,
Site Manager,"Speed,reduce the error timeouts",Performance,WO,
Vendor Admin,Stop the errors that happen. Let us work longer without booting me out.,Performance,,
,Stop the lagging,Performance,,
Vendor Admin,Stop the spinning and latency issues,Performance,Invoices,
Vendor Admin,"Submitting quotes takes literally an hour on occasion because the sytem will not save, or it will take forever to save. Uploading photos to jobs takes 5-10 tries.",Performance,Invoices,
Technician,"System crashes a lot. On the mobile device you have to constantly swipe the app away then re log onto the app to continue working. Another area for improvement would be easier ways to upload photos, also when completing a field po, if it would automatically auto fill the work order number it would keep from having to write down or remember the work order. There are a few other options that in my option would be easier to use overall I'm satisfied with how it is laid out and preforms.",performance,"Quotes, WO",
Vendor Admin,System/WO status update processing speed could be a little faster as to not cause confusion.,Performance,Invoices,
Vendor Admin,"The application used in our day to day operation is very crucial when operating b2b transactions at high volumes.  Thus requires the complexity of the application to handle large numbers of transactions in a single day.    This application does not allow us to run at full potential and lacks the simplicity needed to be truly useful.  Constant Lags, Status options that do not communicate to the end user effectively, and the lack of communication after repeatedly reporting of issues found in application are just a few reasons we would not recommend this product.",Performance,,
Facilities Manager,The biggest main thing is repairing the continuous lagging/loading issues. It has been so long (years) since the system has actually loaded correctly. Everything else is minor compared to that problem. ,Performance,,
,"The largest challenge with utilizing fmP2 is the latency and/or system crashes - it is frequent enough (several times a week) that it impacts productivity and performance for myself, my team, and our client. It often results in escalations to a corporate level (several times a month) when they report that they want to use the system but get frustrated with the time spent trying to get it to load correctly.  All are aware to try different browsers to see what works best for them + the recommendation to clear cache/cookies daily to increase performance but it would be nice to be able to eliminate the need for these additional tasks. If there is any opportunity to get this challenge turned around, I think that would eliminate a significant portion (if not all) the frustration the team and client sees with using this system. ",Performance,,
Operations Manager,the latency,Performance,WO,
Facilities Manager,"The load times for the website are extremely long, to the point that it will not pull up information unless the page is refreshed multiple times.",Performance,"Quotes, Invoices, WO",
Vendor Admin,The number of crashes and updates that need to happen slows our work. Every time an update happens it causes weeks of issues. It loses data that has been put in LL contacts. You have to refresh it serval times to populate a page. This makes it very difficult for my team and myself to service our client. ,Performance,Commenting,
,The only issue I have consistently is with login to the mobile app.  I usually have to try multiple times to login successfully. ,performance,"Notifications, WO",
Site Manager,"The only issue I have with the site is that I usually need to refresh once or twice before it actually allows me to put in a work order. The first time I load the page and try to add one it usually doesn't allow me to put in my own information on the first page of the form, then once I refresh it will get that information but about a third of the time when I move to the second page it won't let me move through the tick boxes on it.",Performance,"Locations, WO",
Site Manager,"The overall performance is poor the web pages take a long time to load. The controls used in the pages to save, reassign and to make changes are also very slow. ",performance,WO,
Site Manager,The site a bit slow to load from section to section. Otherwise it is a great tool to be able to put non emergency problems into.,Performance,WO,
Site Manager,The speed of the system and onboard RAM needs to be improved and documents like Spend Authority should be integrated into the system.,Performance,Notifications,
Vendor Admin,"The system is clunky, kicks you out often while working and there are areas that definitely could use some updating to make users jobs easier. It often feels very outdated.",performance,,
Vendor Admin,The system is often extremely slow when entering or pulling up existing information. It makes interactions w/clients longer and is frustrating when trying to access information.,performance,"Invoices, Quotes, WO",
Vendor Admin,The system is very slow Also it seems to log out randomly sometimes at last 3 times a day.  When a quick list is run and then you try to do another it logs out ,performance,Invoices,
Vendor Admin,The web page loads too slowly.  Honeywell customers should have a prompt to enter their email instead of Username.,performance,Commenting,
Vendor Admin,"The website is slow a buggy. As a company we often times have issues submitting quotes. When we are logged out due to inactivity it takes a long time to get logged back in and sometimes when we log back in, our accounts are not listed so we have to log out and log back in again. I'm not a fan.",Performance,IVR,
Vendor Admin,the website is slow and requires multiple refreshes even with my optic fibre.,Performance,WO,
Vendor Admin,"There are only issues when the app goes down. The IVR phone line is very unpredictable, sometimes it wont recognize check ins and we need to check in again when we're checking out, thus the time onsite isn't recorded. The app is fanatstic.  ",Performance,,
Finance & Accounting,Too many glitches - moves slow. Takes forever to enter a quote and then it freezes and you have to restart unless you save every 5 seconds. You shouldnt have to reenter a quote for the invoice. Too old school ,Performance,,
Site Manager,"Unfortunately, the Platform is very slow and loads slowly, looks like a 20-year-old website. ",performance,WO,
Vendor Admin,Very slow most of the times. Lots of issues. Please fix it. It's affecting our work.,Performance,Quotes,
Site Manager,webpage loads terribly.  doesn't respond well.  slow and experiences many glitches.  ,Performance,,
Facilities Manager,Website is glitchy. I sometimes have to refresh a 10 times to get it to load. I've even had to log off and log back on to get something to load. Its not very efficient.,Performance,WO,
Site Manager,When doing the quote always get timed out and have to reenter parts. Very time consuming. Make it so you are not timed out when doing quotes. ,Performance,,
Site Manager,"Whenever I first log in it fails to register my location, need to refresh it once or twice and then it registers my location properly.",Performance,WO,
Site Manager,"why can fmPilot not work in all browsers?  Why are some functions not available while using specific browsers?  Trying to find the ""correct"" browsers to use to do my job can be difficult and time consuming for little to no reason.",Performance,"WO, Notifications",
Vendor Admin,"I have to close out, clear history and cache, and log back in multiple times a day to due to error messages and latency issues. It would be nice to not have to do that. ",Performance,,
Vendor Admin,I have to refresh the page on almost every service request that I open. The screen freezes and I have to refresh sometimes 3 times. And that happens no matter what browser I use. And cookies and history clear every time I close it.,Performance,"Invoices, WO",
Vendor Admin,"It doesn't always work smoothly, I have to log out of it several times to get the correct info. to populate for me and sometimes the work orders get sent for the wrong facility if you work at multiple facilities.  ",Performance,Invoices,
District Manager,"It runs very slow, and there are lots of glitches",Performance,,
Vendor Admin,"It's literally the worst CMMS I've ever used.  From frequent crashes, ""spinning wheel of death"", buttons not working at different times, comments not logging, etc. it's just very unreliable.  I have a team of techs that are constantly dealing with login issues, can't get into work orders, geolocation isn't working.  My vendors complain constantly about having to use it.  Before I make a recommendation for changes to be made, the whole program needs to be made more reliable.  That's it.  Make it work right.",Performance,WO,
Site Manager,Loading times are slow. It's very buggy and glitchy and performance improvements don't seem to make big differences. It's a great site and platform but unreliable at times.,Performance,WO,
Facilities Manager,"Make it work correctly, program often operates  slow , locks up and kicks you out a lot , and ETC.",Performance,,
Vendor Admin,"Mostly it's just outdated and buggy. The new UI for example rarely works. You have to constantly clear your cache and refresh the page several times to get it to fully load. I prefer working in the old UI, even if it is outdated.  The most difficult part of fmPilot is the quoting and invoicing forms, though. Markups process incorrectly. Often times there's a phantom empty line item you can't remove, which adds an extra markup to client costs. For any remotely complex job, the description field doesn't let you adequately describe it due to the character limits.",Performance,,
Site Manager,"Our company tends to get a lot of system errors and long load times. Photos often get corrupted when being uploaded, quotes lengths cause issues for larger jobs/longer descriptions, and some punctuation causes issues in line items. We also run into many instances where the save option does not work when quoting and we have to re-load in a separate tab then re-enter all  items in order to save. ",Performance,WO,
Facilities Manager,"seems like I'm always having issues invoicing from my phone, also when I check in and out it never gives enough time to punch in the correct info and says you exceeded the time allowed",Performance,Locations,
Facilities Manager,"Sometimes FM Pilot is very slow, cannot create child WO's, you have to try few times, close and reopen the browser, try with Chrome, try with Edge.  Very frustrating!!",Performance,WO,
Operations Manager,Stability needs vast improvements. The Website is barely functional and sometimes even logs into the backend client instead of the user interface. I am Often unable to create a ticket without reloading/relogging multiple times. I would not use this software if I had the choice due to rampant issues and bugs.,Performance,,
Site Manager,There seems to be issues where my page keeps getting frozen on a grey screen and i have to refresh often until the page loads. There are also some issues when i have multiple work orders open on different tabs and a comment that i place in one work order gets placed on a completely different work order,Performance,,
Vendor Admin,too many times i put in  a work order adn after typing it all in it will not go through.  I have to wait a day or two before it will go through.,Performance,,
Site Manager,Work on the speed of it and less instances of getting error messages or being unable to use the site. ,Performance,WO,
Vendor Admin,"Oh boy, where to start. - Update the look and navigation functionality so it doesn't look and feel like a website from 2003 - Make it so the program doesn't have all sorts of weird bugs whenever more than one tab is open, or in general - Search function is incredibly limited - Alignment between searchable criteria and exportable data - Revamp the way you communicate through the platform (i.e. comment vs. email comment) - Customizable notification settings for individual users or groups of users on individual or groups of work orders",Performance,"WO, Quotes",
Vendor Admin,"2. There are instances when I cannot click on NTE request, not sure if the system will time out by itself. As a work around, I log out and log in, most cases, twice just to ensure the button works. ",performance,,
Vendor Admin,its slow and reports are ridiculously difficult to pull correctly and with what you actually need,performance,Commenting,
Site Manager,Loading time for assignment data right now is terrible on imfm. It can take a couple minutes to load and if I'm busy and the screen times out i have to start over again,performance,WO,
Account Coordinator,"Mobile app version can't be logged in and used. Desktop version is not user friendly, slow to load data and very difficult to use the filtering function.",performance,WO,
,"Sometimes the platform as such has speed problems or integration with other platforms, for example: MyBuy, generation of emails or notifications, it is slow to load files",performance,,
Account Coordinator,"There seems to be a constant delay when loading screens. Oftentimes, it is necessary to refresh the screen several times before the screen loads. another aspect that could use improvement is the ability to select the data you would like to extract in reports instead of a blanket data set that is pulled when running a report.  Having the ability to select the data you need would be beneficial.  ",Performance,Invoices,
Account Coordinator,"I find warnings every time a ticket is entered and I think it's a debug. often does not send the email to the requestor. to print a ticket you have to do 6 different steps, this is a big waste of time",performance,,
District Manager,"Serviceinsight provides really good service. However, sometimes the Si7 takes a long time to load on Job Steps.  And it won't be able to type on the next service list box until the last one has been autosaved. ( For the PM work order that I have, it has 80+ list inspection items, it will take a while) if the job step can provide the customer with a manual save/autosave option or upload faster, that will be wonderful.  Thanks",performance,,
Account Coordinator,updates and latency,Performance,,
Vendor Admin,"1. When putting in a quote the sytem times out and you lose all of the information, it is very aggrevating 2. It  goes down on a regular basis 3. There is no one to call when there is an issue that needs to be resolved, we know of no tech support 4. You cannot have more tabs open up at the same time 5. Work orders don't always come to our emails, causing us to miss emergency work orders 6. File size limitations for uploads  7. There is no training for new employees 8. The screen goes blank, having to reload over and over  ",Performance,Quotes,
Vendor Admin,SI7 is a big component to getting our work done. The biggest issue iv'e had is being locked out for 10+ days with limited ability to perform my job. I feel local admins should have reset/lockout permissions back to help streamline our issues.,performance,WO,
Site Manager,In general the software serves its purpose but the program has been down quite a bit during the time I have worked for CBRE. This year we had the issue with hacking or mal-ware...but there are frequently issues with MFM. It just seems like CBRE devotes great resources to systems that are less important to the daily work of our FM teams. The impression that most of my reports have is that CBRE doesnt care about the system at all and doesnt devote resources to making it better.,performance,,
Vendor Admin,In general the software serves its purpose but the program has been down quite a bit during the time I have worked for CBRE. This year we had the issue with hacking or mal-ware...but there are frequently issues with MFM. It just seems like CBRE devotes great resources to systems that are less important to the daily work of our FM teams. The impression that most of my reports have is that CBRE doesnt care about the system at all and doesnt devote resources to making it better.,performance,,
Facilities Manager,Response time and attention has improved in the last several months. That has been the greatest difficulty in the past. Appreciate the notable difference. Continued prompt response and troubleshooting will help improve team satisfaction.,performance,Commenting,
Facilties Manager,Check in check out is difficult when we have no service. It also has been difficult signing into a job and it keeps saying to many errors.   Something to improve on is the option list menu making it easier to navigate and sort the work orders.,"Performance, Usability",,
Vendor Admin,I constantly have to refresh my browser 5plus times to get the page to load. It took me 20 plus minutes to create a work order on several occasions because it would not load and create the work order and then I have to refresh restart the work order process over and over again. I have tried on several web browsers.,Performance,Invoices,
Site Manager,"I have to refresh the page 3-4 times every time I change the WO status or put in a comment or save the WO. Quote must be uploaded with taxes should be mentioned under the Finance tab in a place where it is visible to the Service Provider while adding the quote. Currently it is in fine print at the bottom of the quote. None of the vendors actually read those fine prints. Different status must have an explanation where the client, CBRE employee or anyone using FMP can easily understand the meaning of what the abbreviations mean. FMP should be more user friendly",Performance,,
Vendor Admin,It's very slow to create WO's and navigate SI,performance,"Commenting, Quotes, Attachments",
Vendor Admin,"MAKE IT MORE USER FRIENDLY.  TOO MANY POINTLESS DROP DOWN BOXES.  ALSO, SYSTEM CRASHED DOZENS OF TIMES EACH DAY FOR NO REASON.  VERY SLOW TO PROCESS AND MOVE FROM SCREEN TO SCREEN.  ",performance,,
Site Manager,"minimal to no latency, if possible to include what is the code for like in the FMpilot 1 and for accounts like sally beauty and Tforce (new interface) have an option to open WO history even without searching the store first just like the account like pepboys and GNC because we need to check duplicate WO but with those account we cannot do that while creating WO ",Performance,Attachments,
Vendor Admin,SI7 can be quite slow when raising a ticket. I would like if there were click buttons to acknowledge a ticket as opposed to going in to the menu to change the status. I work on Reception so I can get easily distracted with Visitors.,performance,,
Vendor Admin,"Systems take long to load or refresh . Often kick out , Hard to find the vendor or a category of jobs .   If you want to know what kind of tools could beat SI7 , look at Monday app . This is very user friendly and efficient ",performance,Quotes,
Site Manager,The mobile app is terrible and could be a very useful tool if it was made better.,performance,WO,
Vendor Admin,"The performance and speed leaves a lot to be desired - you wait MUCH too long between steps. besides, you don't need this confirmation pop-up at all. You need two clicks each time and accordingly more time for a confirmation that a work step is done. this extends the time for a WO additionally.",performance,,
Customer Service Rep,The quote screen gets a little clunky sometimes when adding in line new line items and filling out each field. ,Performance,,
Site Manager,The system is very slow most days. Not very user friendly for us or vendors. ,Performance,WO,
Customer Service Rep,"The thing I dislike the most about fmPilot is when I am putting together a larger quote. I have to pay attention to the time and click save every 5-10 minutes. I have had on multiple occasions where ive put together very large bids taking me over 30+ minutes and when i go to save it will like time out and ill loose everything from my quote and have to start over completely. The next thing i dislike is when I invoice a job, we have to wait for pending verification. Even though i have the invoice completed and submitted. I feel like if our invoice is already done, we shouldnt have to go back in again after verification status is complete, just to change the status again for our invoices submittal. When im done with a job, i invoice it and when the store verifies. That should be it, I shouldn't have to go change status again to submit our invoice. I forget about this all the time and it causes us more days waiting to be paid for our work. Or if we already have a signed work order, why do we have to wait up to 3 more days for the store to verify the work is done? If a Manager signed our work order, isn't that already verifying the works been complete? My last complaint would be when i get a work order with a DNE on it. I go out and look at the job to inspect and verify what all is needed to complete the scope. I dont get a MOD to sign the work order at that time, as i have the intent of doing the job. However, their have been times where i complete an inspection and get back to my office. I run the numbers for labor and material, realize i need a DNE increase and submit a quote. My quote doesnt get approved and i invoice for incurred. Then the invoice gets kicked back because i dont have a signed work order, this has happened at least 5-6 times. I dont think i should have to get a signature on a work order when we dont complete the scope thats detailed on the work order. I also shouldnt have to drive back out to a property for a signature, just for the cost of 1 trip charge. We have had to do this before as well and its more of a pain and takes more time to deal with it then what our trip charge is worth. I think a different way to invoice for our incurred trip charges should be available and they shouldn't require a signed work order either. ","Performance, Usability",,
Vendor Admin,Things that would be helpful: *Ability to select multiple work orders and send one message or perform one function. *More intuitive flow between status updates. *Ability to have multiple fmPilot windows open at one time. ,"Performance, Usability",Quotes,
Site Manager,To improve the speed and simplified it process.,"Performance, Usability",,
Operations Manager,"Website if often glitchy, can be hard to find open work orders. A lot of back and forth happens before something can actually get addressed, can be a bit frustrating. ","Performance, Usability",WO,
,"SI7 is always extreme slowly even i use Edge, chrome, deleted cookie and etc. and SI7 has bad optimization for the web interface - i use 32 inches monitor and it shows just 10 row on one screen","performance, Usability, browsers",,
Vendor Admin,"- Cost code selection is slow, and will erase input if done before the cost code has time to load - No Popup to show when session has become inactive - Login screen is unsecure (for me to 'log in' is to just delete the section of the url 'https://sso.mainstreamsasp.com/PRD00177CFG/log in' "" - After creating a WO, if creating a second one, and switching back to the first, the title will duplicate to the other one, and affect both (or all if more then 2). This causes confusion for the vendor.  If you want to see these issues, I can show you. Email: Shtefan Sykora - SYKORA@UPS.COM .","performance, Usability, data issue",,
Site Manager,"Better response time, more intuitive, allow to go to any WO status from any WO status","Performance, Usability, Feature Request","Notifications, Quotes",
Facilities Manager,"Coming from using Corrigo this system is less efficient, slow, and lacks some of the tools other systems have. ","performance, Usability, Feature request",,
Vendor Admin,"Do some research on the market and check how modern applications work. For example Singu FM or many, many others.","performance, Usability, Feature request",Invoices,
Vendor Admin,"actually come in when we ask you to, and when something is set to a HIGH PRIORITY it is treated as such. It is not acceptable to have to a rodent infestation. Thanks. ",Process,Notifications,
Vendor Admin,ancering the telephone more frequently,Process,,
Vendor Admin,"as we are new to this system , we are still learning, as with anything else it gets easier the more  WO we complete.  But I do find that when I reach out for help in the later hours of the afternoon it is ,more difficult to get a hold of anyone to ask questions.",Process,"Reporting, WO",
Account Coordinator,Been trying to get a facility added to me for over 4 months. Have been approved on my end but is still not on my company profile. Need IT help that users can call instead of constantly having to call CBRE for them to send e-mail to IT but  IT never calls back to help.,Process,,
Facilities Manager,Better communication between fmpilot and vender,Process,WO,
Vendor Admin,Better response to issues. ,Process,Invoices,
District Manager,better vendors  / less expensive and local ,Process,,
Site Manager,CBRE FOLLOW UP NEEDS TO BE IMPROVED ,Process,,
Site Manager,CBRE to dial back the spam calling and emails . Spending more team on admin / emails than in-field monitoring . This will help big time in service ,Process,WO,
Facilities Manager,Clearer communication on status of open work orders. ,Process,,
Site Manager,"Communication is poor between our station, Fedex facilities maint. CBRE and the contractors. Everyone should be updating the work orders so everyone knows what is going on and updating all and any updated timelines for completion.",Process,,
Site Manager,Communication needs improvement ,Process,Invoices,
Customer Service Rep,Communication with facility. So many different technicians from different agencies. Maybe a follow up call or email to the AA  so she can expect a certain agency instead of one agency today and another tomorrow and nobody knows what to do or when to do it. Mass confusion  here on work orders.,Process,,
Site Manager,"communication with the location is very crucial, especially with response times. ",Process,"WO, Notifications",
Operations Manager,"Communication, updates, follow up, e-mails etc....",Process,,
Site Manager,Continued follow-up with those work orders that are taking longer to complete. ,Process,Quotes,
Vendor Admin,Couple issues I have is that I check my app every morning but we don't get a lot of work orders as often as we should we are lucky if we get 2 a week and the follow up team isn't very helpful once you have questions about quotes of follow ups on workorders however the help desk people are one of the best customer service representatives I've ever had to deal with,Process,Request Codes,
Vendor Admin,everything went well but when sent order I do not like diferent contractor it kind mess up because the first one contractor with plumber few week later i had to sent call back they send different contractor plumber over and kind waste money to do. ,Process,Invoices,
